2023-10-17 08:25:09 - INFO - data weight 1: 94g
2023-10-17 08:25:09 - INFO - data weight 2: 92g
2023-10-17 10:26:45 - INFO - data from SFC: 11
2023-10-17 10:26:45 - INFO - result from sfc: 11
2023-10-17 10:39:24 - INFO - data from SFC: 11
2023-10-17 10:39:24 - INFO - result from sfc: 11
2023-10-17 10:52:56 - INFO - data from SFC: 11
2023-10-17 10:52:56 - INFO - result from sfc: 11
2023-10-17 10:54:42 - INFO - data from SFC: 11
2023-10-17 10:54:42 - INFO - result from sfc: 11
2023-10-17 10:55:05 - INFO - data from SFC: 11
2023-10-17 10:55:05 - INFO - result from sfc: 11
2023-10-17 10:55:39 - INFO - data from SFC: 10
2023-10-17 10:55:39 - WARNING - result from sfc: 10
2023-10-17 10:56:37 - INFO - data from SFC: 10
2023-10-17 10:56:37 - WARNING - result from sfc: 10
2023-10-17 10:56:48 - INFO - data from SFC: 10
2023-10-17 10:56:48 - WARNING - result from sfc: 10
2023-10-17 10:56:58 - INFO - data from SFC: 10
2023-10-17 10:56:58 - WARNING - result from sfc: 10
2023-10-17 17:39:39 - WARNING - result from sfc: 10
2023-10-17 17:42:40 - WARNING - result from sfc: 10
2023-10-17 17:42:49 - WARNING - result from sfc: 10
2023-10-17 18:19:54 - WARNING - result from sfc: 10
