2023-12-08 08:30:44 - ERROR - error scan camera 1
2023-12-08 09:37:14 - INFO - result from machine 1: b'1'
2023-12-08 09:37:22 - INFO - result from machine 2: b'1'
2023-12-08 09:37:22 - INFO - send signal to plc: b'5\r\n'
2023-12-08 09:48:13 - INFO - result from machine 1: b'1'
2023-12-08 09:48:16 - INFO - result from machine 2: b'1'
2023-12-08 09:48:16 - INFO - send signal to plc: b'5\r\n'
2023-12-08 09:48:54 - INFO - result from machine 2: b'1'
2023-12-08 09:48:54 - WARNING - send signal to plc: b'6\r\n'
2023-12-08 09:49:20 - INFO - result from machine 1: b'1'
2023-12-08 09:49:20 - WARNING - result from machine 2: b'2'
2023-12-08 09:49:20 - WARNING - send signal to plc: b'7\r\n'
2023-12-08 09:49:48 - WARNING - result from machine 2: b'2'
2023-12-08 09:49:48 - WARNING - send signal to plc: b'8\r\n'
